transcript_id,SRR17163539,SRR17163540,SRR17163541,SRR17163542,SRR17163543,SRR17163544,SRR17163545,SRR17163546,SRR17163547,SRR17163548,SRR17163549,SRR17163550
mRNA:Solyc00g500057.1.1,29,6,42,5,103,274,36,29,56,116,20,34
mRNA:Solyc00g500065.1.1,5,0,7,0,12,10,0,7,3,14,0,9
mRNA:Solyc00g500066.1.1,4,1,0,0,18,3,4,2,2,2,0,5
mRNA:Solyc00g500067.1.1,7,20,21,12,17,6,0,13,12,9,8,12
mRNA:Solyc00g500064.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500063.1.1,556,680,699,601,470,785,327,436,561,671,360,721
mRNA:Solyc00g500068.1.1,163,229,191,128,203,167,176,164,199,198,153,228
mRNA:Solyc00g500069.1.1,0,0,0,0,6,8,0,3,0,4,6,0
mRNA:Solyc00g500070.1.1,31,10,12,12,25,13,8,11,19,25,8,14
mRNA:Solyc00g500071.1.1,69,17,57,5,59,65,11,16,36,75,27,21
mRNA:Solyc00g500072.1.1,0,6,3,0,2,3,0,0,5,4,0,2
mRNA:Solyc00g500073.1.1,19,17,5,17,13,13,11,6,20,23,3,0
mRNA:Solyc00g500074.1.1,7,6,8,11,11,0,0,0,5,7,5,11
mRNA:Solyc00g500075.1.1,3,3,3,22,9,2,4,3,4,9,1,7
mRNA:Solyc00g500081.1.1,4,0,4,4,17,15,0,0,4,11,10,5
mRNA:Solyc00g500076.1.1,12,8,0,10,21,7,7,9,0,12,21,28
mRNA:Solyc00g500077.1.1,45,12,18,23,21,14,16,27,17,28,25,12
mRNA:Solyc00g500078.1.1,10,13,17,29,10,12,10,9,17,9,8,17
mRNA:Solyc00g500079.1.1,38,74,26,32,16,26,18,26,31,15,12,8
mRNA:Solyc00g500080.1.1,35,88,39,46,38,9,17,57,37,38,37,47
mRNA:Solyc00g500083.1.1,262,250,229,143,200,96,131,184,222,220,84,173
mRNA:Solyc00g500085.2.1,4,11,4,3,4,8,0,4,0,8,4,4
mRNA:Solyc00g160290.1.1,9,8,2,15,18,7,0,12,16,8,8,22
mRNA:Solyc00g500086.1.1,16,19,16,0,9,4,8,8,24,10,5,0
mRNA:Solyc00g500091.2.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500093.1.1,6,10,9,8,0,0,0,3,19,3,0,0
mRNA:Solyc00g500087.1.1,5,7,5,5,9,7,5,0,4,8,5,5
mRNA:Solyc00g500088.2.1,7,3,0,15,3,9,9,16,9,0,0,6
mRNA:Solyc00g500095.1.1,8,9,19,26,0,0,0,0,0,59,0,0
mRNA:Solyc00g011560.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500096.2.1,0,0,0,0,0,0,0,0,0,3,0,0
mRNA:Solyc00g500098.1.1,4,4,43,3,0,327,42,7,0,112,106,6
mRNA:Solyc00g500099.1.1,18,4,12,0,4,227,53,9,4,92,68,19
mRNA:Solyc00g500102.1.1,2,4,6,0,9,61,12,0,13,22,3,7
mRNA:Solyc00g500101.1.1,2,0,0,0,3,39,3,4,4,4,13,4
mRNA:Solyc00g025400.2.1,8,0,6,4,4,65,9,0,0,14,26,0
mRNA:Solyc00g500104.2.1,3,0,5,0,0,72,21,0,0,33,27,3
mRNA:Solyc00g022100.1.1,5,10,25,15,5,177,43,15,17,49,60,12
mRNA:Solyc00g500103.1.1,23,0,73,9,18,448,66,11,9,149,121,26
mRNA:Solyc00g500112.1.1,13,0,5,0,0,72,10,5,3,12,22,10
mRNA:Solyc00g142170.2.1,7,0,15,0,7,254,38,0,0,0,83,11
mRNA:Solyc00g500116.1.1,2,2,3,0,4,34,5,0,0,8,6,2
mRNA:Solyc00g500108.1.1,0,0,0,0,0,0,2,0,0,0,0,0
mRNA:Solyc00g500106.1.1,3,6,0,3,0,0,57,0,7,0,0,45
mRNA:Solyc00g500107.1.1,9,0,20,0,6,95,10,7,0,30,51,12
mRNA:Solyc00g500118.1.1,2,0,0,1,2,36,8,0,2,10,4,0
mRNA:Solyc00g500119.1.1,5,5,7,0,0,77,0,3,10,12,7,8
mRNA:Solyc00g160340.1.1,5,4,3,0,0,3,3,3,0,6,6,0
mRNA:Solyc00g160350.1.1,6,7,4,9,6,3,5,17,3,7,10,3
mRNA:Solyc00g500123.1.1,15,11,15,10,15,9,18,10,10,17,0,9
mRNA:Solyc00g500124.1.1,14,7,0,10,14,3,5,4,7,8,8,0
mRNA:Solyc00g500125.1.1,15,13,0,11,22,10,0,0,0,16,0,6
mRNA:Solyc00g500128.1.1,5,5,4,8,11,3,8,0,0,13,0,12
mRNA:Solyc00g500131.1.1,14,8,15,3,21,9,8,2,5,11,7,9
mRNA:Solyc00g500132.1.1,4,10,9,14,4,4,5,15,6,13,4,5
mRNA:Solyc00g500129.1.1,36,89,27,50,32,30,42,56,46,51,46,62
mRNA:Solyc00g500130.1.1,105,49,79,56,90,298,53,52,86,274,41,50
mRNA:Solyc00g500134.1.1,17,7,4,7,38,20,0,20,7,18,0,34
mRNA:Solyc00g500133.1.1,39,92,43,67,21,12,28,17,40,39,16,57
mRNA:Solyc00g500135.1.1,6,10,0,5,11,4,9,4,8,22,0,6
mRNA:Solyc00g160170.1.1,5,0,4,0,16,11,0,0,0,5,0,0
mRNA:Solyc00g500144.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500145.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500139.1.1,12,24,24,4,32,121,38,8,10,79,10,20
mRNA:Solyc00g500136.1.1,71,80,103,53,134,576,93,47,83,480,70,89
mRNA:Solyc00g500150.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500137.1.1,6,8,2,0,0,5,4,7,1,6,0,4
mRNA:Solyc00g500138.1.1,25,35,32,10,55,114,23,16,36,74,43,30
mRNA:Solyc00g500151.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500153.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500152.1.1,5,3,4,4,0,0,0,0,0,2,0,0
mRNA:Solyc00g013100.1.1,3,0,1,0,0,20,0,0,0,9,7,0
mRNA:Solyc00g013110.1.1,5,0,5,0,0,42,8,0,0,15,12,0
mRNA:Solyc00g126010.1.1,1,2,6,2,1,55,7,0,0,5,22,2
mRNA:Solyc00g160180.1.1,7,0,9,0,5,125,10,3,0,26,38,0
mRNA:Solyc00g500169.1.1,7,7,51,6,0,622,95,15,4,166,188,31
mRNA:Solyc00g126000.1.1,1,0,5,0,3,56,6,0,0,16,19,1
mRNA:Solyc00g125990.1.1,7,6,16,2,1,236,42,0,6,102,61,16
mRNA:Solyc00g125980.1.1,12,8,6,9,8,158,23,12,7,40,40,12
mRNA:Solyc00g244300.1.1,6,4,15,6,12,230,56,10,16,64,97,23
mRNA:Solyc00g244290.1.1,8,0,25,14,4,395,54,6,8,152,173,32
mRNA:Solyc00g244280.1.1,1,1,2,1,1,38,6,1,2,8,17,4
mRNA:Solyc00g160370.1.1,48,3,159,14,18,1538,267,12,7,435,663,95
mRNA:Solyc00g500171.1.1,4,11,5,0,4,139,21,0,0,53,54,6
mRNA:Solyc00g500172.1.1,7,10,9,0,0,136,19,0,3,31,62,4
mRNA:Solyc00g019730.2.1,27,16,21,6,27,80,39,17,26,50,22,23
mRNA:Solyc00g500181.1.1,6,0,19,0,0,148,29,0,3,56,47,8
mRNA:Solyc00g023590.2.1,0,6,10,4,0,207,14,0,2,48,40,4
mRNA:Solyc00g014850.1.1,7,3,11,3,0,154,24,0,0,76,64,6
mRNA:Solyc00g160410.1.1,3,0,17,0,7,218,30,7,0,37,89,14
mRNA:Solyc00g118690.1.1,2,1,18,2,5,156,10,0,0,48,37,10
mRNA:Solyc00g160400.1.1,4,11,32,0,8,298,57,3,12,86,119,11
mRNA:Solyc00g500183.1.1,3,1,10,0,7,94,21,4,0,18,41,5
mRNA:Solyc00g500184.1.1,0,4,16,0,13,152,22,18,18,68,63,17
mRNA:Solyc00g014800.1.1,3,0,4,0,0,88,11,0,0,26,27,0
mRNA:Solyc00g500185.1.1,4,3,12,6,0,85,22,9,9,42,34,3
mRNA:Solyc00g094550.1.1,2,3,0,0,3,28,4,0,0,7,3,0
mRNA:Solyc00g094530.1.1,4,2,2,0,0,133,27,2,6,37,28,9
mRNA:Solyc00g014790.2.1,7,0,13,0,4,342,43,0,0,72,86,8
mRNA:Solyc00g094520.1.1,11,5,3,3,5,128,17,0,2,50,30,6
mRNA:Solyc00g500187.1.1,0,9,7,0,7,108,15,0,4,26,32,6
mRNA:Solyc00g049210.1.1,8,5,18,0,0,115,16,10,0,32,18,0
mRNA:Solyc00g500186.1.1,12,10,26,14,22,152,33,8,12,52,50,23
mRNA:Solyc00g500188.1.1,4,2,21,8,4,100,25,0,8,38,56,4
mRNA:Solyc00g500189.1.1,6,5,9,0,3,140,17,1,4,40,58,8
mRNA:Solyc00g160390.1.1,5,4,17,4,0,117,13,0,3,47,36,4
mRNA:Solyc00g500194.1.1,0,0,0,3,0,1,0,3,0,2,0,4
mRNA:Solyc00g500193.1.1,16,15,10,0,19,0,4,7,11,0,4,9
mRNA:Solyc00g500190.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500191.2.1,31,12,4,9,6,5,9,8,16,23,12,16
mRNA:Solyc00g500195.1.1,0,0,4,0,0,0,13,0,4,0,3,0
mRNA:Solyc00g500196.2.1,42,35,37,28,45,22,18,27,61,39,12,21
mRNA:Solyc00g500197.1.1,4,2,2,0,1,0,0,0,0,0,3,0
mRNA:Solyc00g500202.1.1,9,11,0,15,7,4,10,11,10,5,11,0
mRNA:Solyc00g500201.1.1,23,6,4,0,20,2,7,4,13,21,11,8
mRNA:Solyc00g500203.1.1,35,69,44,44,16,9,23,30,34,19,20,54
mRNA:Solyc00g500204.1.1,9,10,11,19,26,23,15,29,21,5,14,29
mRNA:Solyc00g500198.1.1,14,4,4,0,6,11,0,4,8,4,4,5
mRNA:Solyc00g500199.1.1,41,85,44,62,31,21,24,35,32,27,30,45
mRNA:Solyc00g500200.1.1,100,45,117,77,80,301,76,15,64,292,47,61
mRNA:Solyc00g500205.1.1,13,7,11,0,11,7,15,7,19,18,0,7
mRNA:Solyc00g500207.1.1,0,6,4,1,2,11,0,0,0,7,0,1
mRNA:Solyc00g500208.1.1,36,13,30,17,64,110,4,33,26,39,12,39
mRNA:Solyc00g500209.1.1,21,20,27,33,90,248,35,13,29,182,23,41
mRNA:Solyc00g500210.1.1,16,6,8,0,11,7,12,15,15,0,7,15
mRNA:Solyc00g500206.1.1,90,74,102,33,188,562,80,49,88,575,93,83
mRNA:Solyc00g500211.1.1,0,7,3,7,9,9,0,2,3,3,4,0
mRNA:Solyc00g500213.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc03g042550.2.1,0,0,0,5,0,0,0,0,6,0,0,0
mRNA:Solyc00g052530.2.1,0,0,0,0,0,6,0,0,0,4,0,0
mRNA:Solyc00g500216.2.1,28,58,11,24,21,0,18,52,29,5,0,29
mRNA:Solyc00g500224.1.1,7,0,30,0,7,0,19,0,4,63,60,12
mRNA:Solyc00g500225.1.1,9,10,0,8,7,50,13,10,11,22,28,13
mRNA:Solyc00g500226.1.1,8,4,23,0,8,300,44,13,7,77,95,5
mRNA:Solyc00g500227.1.1,5,0,12,0,0,183,26,0,0,53,31,8
mRNA:Solyc00g500228.1.1,65,16,124,17,64,1231,193,39,63,434,394,84
mRNA:Solyc00g500235.1.1,5,1,4,6,5,0,4,0,6,1,0,4
mRNA:Solyc00g500237.1.1,0,0,0,0,0,8,0,0,0,0,0,0
mRNA:Solyc00g500236.1.1,8,15,0,6,5,4,9,4,16,6,0,6
mRNA:Solyc00g025290.1.1,5,2,31,0,19,742,32,0,1,231,133,6
mRNA:Solyc00g019990.1.1,2,0,9,0,2,95,12,0,0,33,44,6
mRNA:Solyc00g020010.1.1,1,5,28,11,0,328,39,3,0,80,235,9
mRNA:Solyc00g020000.1.1,8,3,21,0,4,106,12,0,5,32,56,5
mRNA:Solyc00g019980.3.1,2,0,64,5,6,633,63,0,0,127,353,11
mRNA:Solyc00g020040.1.1,7,4,8,4,15,199,25,8,12,32,71,7
mRNA:Solyc00g020030.1.1,1,2,14,3,3,98,17,4,0,18,68,15
mRNA:Solyc00g020020.2.1,9,9,61,8,12,708,126,8,0,143,414,71
mRNA:Solyc00g019970.2.1,7,12,27,6,24,358,57,5,0,124,121,20
mRNA:Solyc00g019950.2.1,8,0,6,0,4,155,4,6,0,21,35,9
mRNA:Solyc00g160060.1.1,33,13,3,10,26,68,23,30,16,17,15,9
mRNA:Solyc00g500240.1.1,0,8,6,0,10,113,20,2,0,12,6,2
mRNA:Solyc00g500242.1.1,1,3,3,0,0,13,8,9,4,8,5,2
mRNA:Solyc00g500241.1.1,4,0,27,11,6,343,20,8,0,79,78,15
mRNA:Solyc00g500244.1.1,1,0,0,4,0,24,0,0,2,11,4,3
mRNA:Solyc00g500245.1.1,6,12,38,4,9,232,48,4,5,77,105,7
mRNA:Solyc00g500253.1.1,3,1,11,0,11,147,25,6,0,48,36,0
mRNA:Solyc00g500252.1.1,9,7,8,0,0,160,21,0,9,29,51,9
mRNA:Solyc00g181240.1.1,1,0,0,0,0,16,0,0,0,5,11,0
mRNA:Solyc00g500250.1.1,27,19,47,33,58,352,71,22,25,129,98,28
mRNA:Solyc00g181250.2.1,5,0,5,0,0,90,9,0,0,9,43,4
mRNA:Solyc00g021640.2.1,20,13,68,0,19,624,84,0,11,307,282,16
mRNA:Solyc00g500255.1.1,6,0,3,4,0,129,7,0,0,29,23,10
mRNA:Solyc11g056270.3.1,19,0,67,7,54,494,92,32,13,172,228,80
mRNA:Solyc11g056320.2.1,2,0,0,0,0,86,0,0,0,0,28,0
mRNA:Solyc00g160510.1.1,13,7,12,7,20,284,39,5,13,86,111,19
mRNA:Solyc00g500260.1.1,17,22,41,15,6,429,45,11,0,164,95,15
mRNA:Solyc00g160530.1.1,3,0,2,0,0,47,14,0,0,7,23,7
mRNA:Solyc00g500262.1.1,11,0,21,0,15,311,43,9,0,69,113,27
mRNA:Solyc00g500263.1.1,11,5,16,3,0,203,62,4,3,58,50,5
mRNA:Solyc00g500271.1.1,3,14,27,0,4,314,36,3,8,101,112,9
mRNA:Solyc00g500272.1.1,9,0,16,6,2,256,49,5,0,83,78,26
mRNA:Solyc00g500275.1.1,1,0,4,0,0,42,7,0,4,10,7,3
mRNA:Solyc00g500276.1.1,5,7,6,5,9,29,14,10,9,21,19,0
mRNA:Solyc00g500277.1.1,4,0,0,0,1,13,4,4,4,0,0,0
mRNA:Solyc00g052430.3.1,16,6,16,3,0,218,24,10,0,92,71,6
mRNA:Solyc00g500278.1.1,5,0,0,0,8,17,4,0,0,11,8,5
mRNA:Solyc00g500285.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g160230.1.1,0,27,4,18,12,7,3,23,6,0,6,21
mRNA:Solyc00g500291.1.1,16,14,3,10,25,19,0,33,9,13,0,25
mRNA:Solyc00g500290.2.1,9,12,0,12,11,11,9,0,7,19,7,16
mRNA:Solyc00g500292.1.1,23,77,47,97,21,24,16,36,66,46,10,51
mRNA:Solyc00g500293.1.1,10,18,7,9,8,4,5,14,8,5,9,8
mRNA:Solyc00g500299.1.1,0,10,7,4,8,4,3,0,3,9,0,6
mRNA:Solyc00g500300.1.1,2,4,0,0,0,0,0,0,0,0,0,2
mRNA:Solyc00g500294.1.1,5,0,0,5,20,6,0,10,0,13,9,4
mRNA:Solyc00g500295.1.1,9,9,7,4,28,6,0,0,10,18,3,19
mRNA:Solyc00g500296.1.1,90,64,77,55,82,303,55,35,94,285,41,57
mRNA:Solyc00g500297.1.1,38,81,31,72,28,25,23,34,40,39,19,42
mRNA:Solyc00g500298.1.1,30,72,45,61,39,17,19,35,38,15,34,34
mRNA:Solyc00g500301.1.1,252,230,283,136,171,130,146,142,258,257,108,162
mRNA:Solyc00g500310.1.1,4,0,0,0,0,3,0,0,2,0,0,0
mRNA:Solyc00g160560.1.1,0,0,0,4,0,34,6,0,0,0,10,6
mRNA:Solyc00g500261.2.1,0,4,5,0,4,0,0,5,7,9,0,8
mRNA:Solyc00g500312.1.1,0,3,5,0,0,70,10,3,9,32,16,0
mRNA:Solyc00g500303.1.1,23,17,37,11,22,78,33,46,22,29,37,28
mRNA:Solyc00g500318.1.1,20,0,12,2,3,262,48,0,0,66,106,6
mRNA:Solyc00g500317.1.1,13,0,19,9,0,283,38,2,4,74,80,16
mRNA:Solyc00g500319.1.1,10,4,6,0,5,0,3,15,0,18,16,4
mRNA:Solyc00g500320.1.1,14,4,13,5,24,16,17,29,9,9,14,38
mRNA:Solyc00g500315.1.1,0,15,24,0,14,0,0,15,6,0,0,0
mRNA:Solyc00g500313.1.1,4,0,5,3,0,49,4,3,0,10,20,3
mRNA:Solyc00g500314.1.1,4,6,13,4,0,242,46,0,7,96,78,9
mRNA:Solyc00g500316.1.1,15,7,43,8,9,498,66,6,7,141,184,27
mRNA:Solyc00g160570.1.1,43,0,220,17,20,1431,295,13,16,418,796,81
mRNA:Solyc00g500324.1.1,8,0,0,8,2,13,9,0,4,11,8,0
mRNA:Solyc00g500322.1.1,0,28,0,30,11,0,22,17,10,9,6,31
mRNA:Solyc00g500321.1.1,3,6,7,0,0,6,7,0,8,4,4,7
mRNA:Solyc00g500323.1.1,26,104,53,58,19,22,11,30,34,30,26,60
mRNA:Solyc00g500326.1.1,0,4,0,0,0,0,0,0,0,3,0,2
mRNA:Solyc00g500328.1.1,25,67,39,45,27,14,17,31,49,41,19,49
mRNA:Solyc00g500325.1.1,220,293,248,116,190,128,120,154,246,227,122,132
mRNA:Solyc00g500327.1.1,4,5,0,0,13,9,5,0,0,16,0,0
mRNA:Solyc00g500329.1.1,125,37,82,44,69,264,64,42,42,344,45,54
mRNA:Solyc00g500330.1.1,5,5,10,0,16,8,11,0,11,17,3,10
mRNA:Solyc00g500331.1.1,6,15,5,9,3,0,9,0,10,3,7,12
mRNA:Solyc00g500335.1.1,10,4,7,0,0,14,13,21,0,0,18,21
mRNA:Solyc00g160110.1.1,4,3,0,4,5,2,5,0,5,9,0,12
mRNA:Solyc00g500334.1.1,0,0,0,6,2,0,0,0,0,5,0,0
mRNA:Solyc00g500332.1.1,45,82,49,75,12,26,14,29,31,47,15,44
mRNA:Solyc00g500333.1.1,13,17,0,23,0,0,0,7,13,7,0,0
mRNA:Solyc00g500341.1.1,0,0,11,0,0,258,15,0,0,55,73,0
mRNA:Solyc00g500342.1.1,2,3,52,0,14,867,50,0,7,221,217,12
mRNA:Solyc00g500343.1.1,12,0,23,0,5,527,28,5,8,159,113,11
mRNA:Solyc00g500339.1.1,10,0,5,4,5,178,55,6,9,51,51,11
mRNA:Solyc00g500340.1.1,2,0,3,0,0,53,14,0,0,21,22,0
mRNA:Solyc00g500345.1.1,32,14,67,13,34,1335,143,22,23,270,252,46
mRNA:Solyc00g160120.1.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500349.1.1,20,10,27,5,21,153,60,9,16,56,57,13
mRNA:Solyc00g500350.1.1,5,0,10,0,0,147,20,0,0,53,35,13
mRNA:Solyc00g032030.2.1,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500351.1.1,26,7,61,17,26,754,92,23,8,219,212,48
mRNA:Solyc00g500357.1.1,2,4,3,0,0,11,0,0,0,6,6,0
mRNA:Solyc00g500358.1.1,35,9,70,8,26,1110,112,8,26,220,284,36
mRNA:Solyc00g500361.1.1,9,0,10,0,6,95,16,7,0,21,38,10
mRNA:Solyc00g500362.1.1,13,0,35,5,16,269,23,0,0,63,80,5
mRNA:Solyc00g500364.1.1,3,0,16,0,0,101,19,10,6,24,39,3
mRNA:Solyc00g160240.1.1,2,0,0,0,0,15,4,0,0,0,4,0
mRNA:Solyc00g160130.1.1,12,24,28,3,27,201,46,7,12,46,90,7
mRNA:Solyc00g160140.1.1,0,31,7,10,11,4,7,31,9,0,3,17
mRNA:Solyc00g500373.1.1,184,220,97,128,43,50,68,66,232,125,62,56
mRNA:Solyc00g160250.1.1,2,0,2,1,0,0,0,0,0,4,0,2
mRNA:Solyc00g500405.1.1,29,47,19,44,39,10,15,39,22,0,14,27
mRNA:Solyc00g500406.1.1,25,75,56,111,37,24,62,53,41,22,22,81
mRNA:Solyc01g005000.3.1,1677,1481,1048,1617,737,101,383,1276,1925,956,258,1296
mRNA:Solyc01g005010.5.1,519,758,740,787,537,329,725,493,319,211,350,737
mRNA:Solyc01g005040.3.1,68,35,14,11,63,14,19,16,78,8,0,31
mRNA:Solyc01g005020.3.1,5561,5767,4078,5371,8019,5383,7503,7651,7472,3688,4601,7211
mRNA:Solyc01g005060.3.1,399,382,656,385,1076,258,573,851,337,459,498,985
mRNA:Solyc01g005030.4.1,2177,2105,1533,1773,2408,1598,2155,2268,2958,1718,1335,1890
mRNA:Solyc01g005070.3.1,4,0,5,0,0,0,4,4,4,0,0,3
mRNA:Solyc01g005080.3.1,2590,4115,2066,3993,3432,2215,3394,3605,2953,1149,2920,4288
mRNA:Solyc01g005100.4.1,1031,1151,898,910,1108,1027,1093,851,1079,1127,598,707
mRNA:Solyc01g005110.3.1,409,396,288,273,567,273,387,321,448,356,193,290
mRNA:Solyc01g005120.3.1,2749,1805,1917,2822,3247,1936,3967,2457,1725,1628,1953,3916
mRNA:Solyc01g005130.3.1,1584,1200,1037,1027,2183,779,1802,1699,1526,1370,1018,1611
mRNA:Solyc01g005150.3.1,94,106,44,110,71,35,91,105,138,34,16,94
mRNA:Solyc01g005160.5.1,441,74,475,65,517,52,146,24,37,641,30,80
mRNA:Solyc01g005140.3.1,4231,316,67,208,2392,1395,2352,148,5295,2966,36,66
mRNA:Solyc01g005230.5.1,10,14,20,11,6,6,13,10,32,26,0,15
mRNA:Solyc01g005220.3.1,1230,269,588,239,597,196,788,119,897,1376,0,184
mRNA:Solyc01g005210.4.1,7337,4487,1871,2977,7134,1573,5891,4849,11271,3600,806,2621
mRNA:Solyc01g005180.1.1,36,19,18,44,72,26,91,43,31,10,18,41
mRNA:Solyc01g005253.1.1,78,256,51,198,179,23,107,321,137,23,46,208
mRNA:Solyc01g005240.4.1,1766,3701,1332,2462,3890,1051,2258,5816,2903,736,1616,3320
mRNA:Solyc01g005250.5.1,1562,2359,1862,2429,1569,704,1255,1448,1953,1069,680,1378
mRNA:Solyc01g005280.3.1,38,457,101,313,106,7,28,341,97,14,58,214
mRNA:Solyc01g005257.1.1,1012,1105,630,1022,1116,282,891,1045,1189,407,361,1091
mRNA:Solyc01g005290.4.1,486,821,431,923,551,167,286,591,538,171,163,407
mRNA:Solyc01g005320.2.1,269,2320,1685,2089,393,245,232,2161,171,175,2165,2355
mRNA:Solyc01g005350.4.1,19,27,9,32,13,4,9,86,16,0,0,95
mRNA:Solyc01g005330.3.1,3482,8703,4611,6138,5051,1443,3463,7670,4790,1634,3396,5937
mRNA:Solyc01g005370.3.1,406,188,166,199,732,203,541,489,455,292,110,236
mRNA:Solyc01g005385.2.1,107,183,113,149,220,69,190,196,127,55,98,244
mRNA:Solyc01g005340.3.1,1427,2121,1184,1409,1992,551,1898,2323,2309,818,742,1529
mRNA:Solyc01g005380.4.1,217,346,162,364,440,110,275,420,277,110,187,384
mRNA:Solyc01g005390.3.1,426,308,211,240,284,106,187,193,391,300,73,215
mRNA:Solyc01g005400.3.1,3636,650,435,511,3734,2300,3395,886,2108,1662,272,710
mRNA:Solyc01g005420.2.1,426,325,530,201,298,51,57,64,251,394,38,125
mRNA:Solyc01g005410.5.1,7948,1216,3797,1371,4703,12517,5909,1483,6224,13790,4775,1797
mRNA:Solyc01g005430.3.1,1550,941,1049,951,1230,1064,1118,659,1256,1414,1170,822
mRNA:Solyc01g005460.4.1,30,261,73,197,107,15,24,228,69,0,66,171
mRNA:Solyc01g005450.3.1,280,187,181,173,221,108,318,159,243,210,56,109
mRNA:Solyc01g005470.3.1,105,163,51,44,274,25,68,76,382,68,14,28
